year,ID,recruit,Count of Year,sum_n of eggs,mean_n of eggs,SD_ n of eggs,mean_length,SD_length,mean_width,SD_width,mass,energy
1995,1995G021,First time,2,184,92,5.656854,101,1.414214,80,0.707107,111.6884,90339.4
1995,1995G022,First time,1,126,126,,104,,80,,118.9436,123725.7
1995,1995G023,First time,2,182,91,1.414214,96,0,80,0.707107,99.5964,89357.45
1995,1995G024,First time,6,561,93.5,16.9794,98.16667,0.752773,80,1.870829,104.8362747,91812.325
1995,1995G025,First time,3,262,87.33333,26.10236,102.3333,0.57735,80,1.154701,114.9128527,85756.96339
1995,1995G026,First time,5,552,110.4,21.64024,97.2,1.30384,80,0.894427,102.49848,108407.28
1995,1995G027,First time,6,609,101.5,22.54551,101.3333,1.21106,80,1.224745,112.4944527,99667.925
1995,1995G028,First time,2,106,106,,94.5,0.707107,80,0.707107,95.9688,104086.7
1995,1995G029,First time,2,218,109,25.45584,103,0,80,1.414214,116.5252,107032.55
1995,1995G030,First time,4,400,100,9.486833,102.5,1.290994,80,0.816497,115.316,98195
1995,1995G031,First time,8,680,85,18.15017,100.25,0.886405,80,1.356203,109.8746,83465.75
1995,1995G032,First time,6,532,88.66667,11.94432,109.8333,0.752773,80,1.47196,133.0508527,87066.23661
1995,1995G033,First time,5,475,95,8.689074,94.6,1.140175,80,0.83666,96.21064,93285.25
1995,1995G034,First time,5,465,93,5.385165,94.2,1.095445,80,0.83666,95.24328,91321.35
1995,1995G035,First time,3,354,118,9.539392,103,1,80,0.57735,116.5252,115870.1
1995,1995G036,First time,2,190,95,4.242641,105,1.414214,80,0,121.362,93285.25
1995,1995G037,First time,8,743,92.875,14.06554,92.75,0.707107,80,0.755929,91.7366,91198.60625
1995,1995G038,First time,7,705,100.7143,15.83997,99.71429,0.48795,80,1.272418,108.5790389,98896.40689
1995,1995G039,First time,9,817,90.77778,20.28409,93.22222,1.20185,80,1.054093,92.87861685,89139.24107
1995,1995G040,First time,5,374,93.5,4.203173,96,1.414214,80,2.50998,99.5964,91812.325
1995,1995G041,First time,5,493,98.6,17.70028,102.6,1.341641,80,3.209361,115.55784,96820.27
1995,1995G042,First time,5,544,108.8,13.82751,104.8,0.447214,80,2.48998,120.87832,106836.16
1995,1995G043,First time,2,188,94,9.899495,99,1.414214,80,2.12132,106.8516,92303.3
1995,1995G044,First time,4,451,112.75,6.238322,97.5,1,80,1,103.224,110714.8625
1995,1995G045,First time,2,201,100.5,9.192388,96.5,2.12132,80,0.707107,100.8056,98685.975
1995,1995G046,First time,4,432,108,10.73934,104.25,0.957427,80,1.5,119.5482,106050.6
1995,1995G047,First time,6,705,117.5,22.3495,107.6667,1.505545,80,1.169045,127.8111473,115379.125
1995,1995G048,First time,6,698,116.3333,19.02279,97.66667,1.21106,80,1.095445,103.6270747,114233.4839
1995,1995G049,First time,6,595,99.16667,8.424172,100.3333,0.516398,80,1.048809,110.0760527,97376.71161
1995,1995G050,First time,7,701,100.1429,14.29952,99.85714,0.690066,80,1.345185,108.9245074,98335.32066
1995,1995G051,First time,7,543,90.5,6.379655,97.28571,1.112697,80,1.069045,102.7057611,88866.475
1995,1995G052,First time,1,103,103,,97,,80,,102.0148,101140.85
1995,1995G053,First time,6,534,89,18.85736,91,1.264911,80,1.378405,87.5044,87393.55
1995,1995G054,First time,7,699,99.85714,9.136531,105.7143,0.95119,80,1.253566,123.0894631,98054.71862
1995,1995G055,First time,6,528,88,9.777525,105.3333,0.516398,80,1.264911,122.1680527,86411.6
1995,1995G056,First time,4,465,116.25,17.28921,104,1.414214,80,0.5,118.9436,114151.6875
1995,1995G057,First time,4,522,130.5,32.96968,98.5,1,80,0.57735,105.6424,128144.475
1995,1995G058,First time,4,358,89.5,13.17826,94.25,1.892969,80,0.816497,95.3642,87884.525
1995,1995G059,First time,3,262,87.33333,17.89786,94,0,80,1,94.7596,85756.96339
1995,1995G060,First time,3,296,98.66667,12.58306,98.66667,1.527525,80,0,106.0454747,96885.73661
1995,1995G061,First time,5,500,100,6.164414,90.6,1.516575,80,2.167948,86.53704,98195
1995,1995G062,First time,4,371,92.75,12.25765,95.75,0.957427,80,1.154701,98.9918,91075.8625
1995,1995G063,First time,2,98,98,,93.5,0.707107,80,1.414214,93.5504,96231.1
1995,1995G064,First time,2,189,94.5,16.26346,99.5,0.707107,80,0,108.0608,92794.275
1995,1995G065,First time,1,130,130,,104,,80,,118.9436,127653.5
1995,1995G066,First time,4,328,109.3333,12.09683,96,0.816497,80,0,99.5964,107359.8339
1995,1995G067,First time,1,82,82,,103,,80,,116.5252,80519.9
